,SKEW,VIX,Spread,OAS
2000-01-05,114.81999969482422,26.40999984741211,0.24,4.77
2000-01-06,114.87000274658203,25.729999542236328,0.22,4.82
2000-01-07,117.3499984741211,21.719999313354492,0.21,4.86
2000-01-10,115.7300033569336,21.709999084472656,0.19,4.81
2000-01-11,114.9800033569336,22.5,0.22,4.74
2000-01-12,114.13999938964844,22.84000015258789,0.23,4.72
2000-01-13,115.18000030517578,21.709999084472656,0.23,4.82
2000-01-14,116.55999755859375,19.65999984741211,0.25,4.77
2000-01-18,114.37999725341797,21.5,0.28,4.75
2000-01-19,115.5,21.719999313354492,0.27,4.77
2000-01-20,114.80000305175781,21.75,0.3,4.74
2000-01-21,116.12999725341797,20.81999969482422,0.31,4.73
2000-01-24,114.36000061035156,24.06999969482422,0.26,4.82
2000-01-25,116.06999969482422,23.020000457763672,0.26,4.81
2000-01-26,115.25,23.030000686645508,0.24,4.81
2000-01-27,115.88999938964844,23.540000915527344,0.17,4.8
2000-01-28,113.48999786376953,26.139999389648438,0.08,4.8
2000-01-31,114.13999938964844,24.950000762939453,0.07,4.87
2000-02-01,114.12000274658203,23.450000762939453,0.02,4.87
2000-02-02,114.62000274658203,23.1200008392334,-0.03,4.86
2000-02-03,115.31999969482422,22.010000228881836,-0.07,4.99
2000-02-04,115.88999938964844,21.540000915527344,-0.1,4.87
2000-02-07,116.30000305175781,22.790000915527344,-0.04,4.82
2000-02-08,117.3499984741211,21.25,-0.1,4.82
2000-02-09,115.33999633789062,22.899999618530273,-0.13,4.79
2000-02-10,115.0199966430664,23.06999969482422,0.0,4.77
2000-02-11,114.93000030517578,24.420000076293945,-0.02,4.81
2000-02-14,113.08999633789062,24.3799991607666,-0.06,4.88
2000-02-15,116.06999969482422,22.920000076293945,-0.1,4.83
2000-02-16,114.4000015258789,23.510000228881836,-0.07,4.86
2000-02-17,114.76000213623047,23.170000076293945,-0.11,4.82
2000-02-18,114.06999969482422,26.0,-0.17,4.9
2000-02-22,112.47000122070312,25.860000610351562,-0.21,5.02
2000-02-23,113.31999969482422,23.889999389648438,-0.17,4.94
2000-02-24,111.5,24.3799991607666,-0.16,5.04
2000-02-25,109.5199966430664,25.200000762939453,-0.09,5.07
2000-02-28,111.31999969482422,24.68000030517578,-0.1,5.01
2000-02-29,111.41999816894531,23.3700008392334,-0.11,5.08
2000-03-01,113.1500015258789,21.639999389648438,-0.13,5.11
2000-03-02,111.5199966430664,21.059999465942383,-0.12,5.11
2000-03-03,112.22000122070312,19.209999084472656,-0.11,5.13
2000-03-06,111.58999633789062,21.5,-0.13,5.1
